question,should_answer,veridoc_answer,veridoc_refused,veridoc_sources,keyword_answer,vanilla_answer,vanilla_refused
What is the last date to pay the odd semester fee?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 1], the last date to pay the odd semester fee is:  15 August 2026",no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share","The last date to pay the odd semester fee at our college is January 15th, 2023. Please ensure timely payment to avoid any late fees or penalties.",no
What is the last date to pay the even semester fee?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 1], the last date to pay the even semester fee is:  10 January 2027",no,SIT_Academic_Calendar_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Academic_Calendar_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,(holiday) 2 October 2026 Second internal assessment 20–25 October 2026 Diwali vacation 5–12 November 2026 Last working day of semester 5 December 2026 End-semester examinations begin 8 December 2026 W,The last date to pay the even semester fee at our college is December 15th. Please note that a late payment fee will be applicable for payments made after this date.,no
How much is the late fee for paying after the due date?,yes,Rs. 500,no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share","The late fee for paying tuition or fees after the due date at our college is $50 per month, with a maximum of $200. If you have any questions or concerns about payment deadlines and fees, please feel ",no
What is the tuition fee per semester for B.Tech?,yes,"According to [Source: SIT_Fee_Circular_2026-27.pdf, page 1], the tuition fee per semester for B.Tech is ₹95,000.",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p2; SIT_Fee_Circular_2026-27.pdf p1,"Sunrise Institute of Technology — Official Document, Academic Year 2026–27 Page 1 Sunrise Institute of Technology (Approved by AICTE | Affiliated to Savitribai Phule Pune University | NAAC 'A' Grade) ","The tuition fee per semester for B.Tech at our college is ₹1,20,000.",no
What is the total semester fee excluding hostel?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 1], the total semester fee excluding hostel is:  Total (excluding hostel) = Rs. 1,16,500",no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share","According to our records, the total semester fee for [College Name] excluding hostel is approximately $4,500. Please note that this amount may be subject to change, so it's always best to check with t",no
How much is the development fee per semester?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 1], the Development Fee is Rs. 8,000 per semester.",no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share",The development fee at our college is $25 per semester.,no
What is the examination fee per semester?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 1], the Examination Fee is Rs. 3,500 per semester.  Answer: Rs. 3,500",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share",The examination fee per semester at our college is $50.,no
How much is the library fee per semester?,yes,"According to the context passage [Source: SIT_Student_Handbook_2026-27.pdf, page 1], the Library Fee is Rs. 2,000 per semester.",no,SIT_Student_Handbook_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1; SIT_Student_Handbook_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share",The library fee at our college is $50 per semester.,no
What is the hostel accommodation charge for a shared 3-seater room?,yes,"45,000",no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share","The hostel accommodation charge for a shared 3-seater room at our college is $450 per semester, which includes utilities and internet access.",no
What is the hostel charge for twin sharing accommodation?,yes,"According to the context passage [Source: SIT_Fee_Circular_2026-27.pdf, page 2], the hostel charge for twin sharing accommodation is Rs. 58,000 per semester.",no,SIT_Fee_Circular_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p2; SIT_Student_Handbook_2026-27.pdf p1; SIT_Admission_Form_2026-27.pdf p1; SIT_Fee_Circular_2026-27.pdf p1,"ary Fee 2,000 Examination Fee 3,500 Student Activity & Insurance 1,500 Total (excluding hostel) 1,16,500 2. Hostel & Mess Charges (Optional) Component Amount (per semester) Hostel Accommodation (share","The hostel charge for twin sharing accommodation at our college is $800 per semester, which includes utilities and internet connectivity.",no
